year,month,etype,event_group,event_count,display_count,suppression_status,cell_available,period_status,coverage_end
2020,1,AMI,AMI,50,50,none,1,complete,2024-01-31
2020,1,All CVD,All CVD,106,106,none,1,complete,2024-01-31
2020,2,Stroke,Stroke,72,72,none,1,complete,2024-01-31
2020,2,AMI,AMI,67,67,none,1,complete,2024-01-31
2020,2,All CVD,All CVD,139,139,none,1,complete,2024-01-31
2020,3,Stroke,Stroke,50,50,none,1,complete,2024-01-31
2020,3,AMI,AMI,45,45,none,1,complete,2024-01-31
2020,3,All CVD,All CVD,95,95,none,1,complete,2024-01-31
2020,4,Stroke,Stroke,59,59,none,1,complete,2024-01-31
2020,4,AMI,AMI,47,47,none,1,complete,2024-01-31
2020,4,All CVD,All CVD,106,106,none,1,complete,2024-01-31
2020,5,Stroke,Stroke,59,59,none,1,complete,2024-01-31
2020,5,AMI,AMI,46,46,none,1,complete,2024-01-31
2020,5,All CVD,All CVD,105,105,none,1,complete,2024-01-31
2020,6,Stroke,Stroke,50,50,none,1,complete,2024-01-31
2020,6,AMI,AMI,43,43,none,1,complete,2024-01-31
2020,6,All CVD,All CVD,93,93,none,1,complete,2024-01-31
2020,7,Stroke,Stroke,56,56,none,1,complete,2024-01-31
2020,7,AMI,AMI,53,53,none,1,complete,2024-01-31
2020,7,All CVD,All CVD,109,109,none,1,complete,2024-01-31
2020,8,Stroke,Stroke,70,70,none,1,complete,2024-01-31
2020,8,AMI,AMI,38,38,none,1,complete,2024-01-31
2020,8,All CVD,All CVD,108,108,none,1,complete,2024-01-31
2020,9,Stroke,Stroke,60,60,none,1,complete,2024-01-31
2020,9,AMI,AMI,40,40,none,1,complete,2024-01-31
2020,9,All CVD,All CVD,100,100,none,1,complete,2024-01-31
2020,10,Stroke,Stroke,50,50,none,1,complete,2024-01-31
2020,10,AMI,AMI,38,38,none,1,complete,2024-01-31
2020,10,All CVD,All CVD,88,88,none,1,complete,2024-01-31
2020,11,Stroke,Stroke,55,55,none,1,complete,2024-01-31
2020,11,AMI,AMI,40,40,none,1,complete,2024-01-31
2020,11,All CVD,All CVD,95,95,none,1,complete,2024-01-31
2020,12,Stroke,Stroke,62,62,none,1,complete,2024-01-31
2020,12,AMI,AMI,40,40,none,1,complete,2024-01-31
2020,12,All CVD,All CVD,102,102,none,1,complete,2024-01-31
2021,1,Stroke,Stroke,58,58,none,1,complete,2024-01-31
2021,1,AMI,AMI,43,43,none,1,complete,2024-01-31
2021,1,All CVD,All CVD,101,101,none,1,complete,2024-01-31
2021,2,Stroke,Stroke,60,60,none,1,complete,2024-01-31
2021,2,AMI,AMI,37,37,none,1,complete,2024-01-31
2021,2,All CVD,All CVD,97,97,none,1,complete,2024-01-31
2021,3,Stroke,Stroke,50,50,none,1,complete,2024-01-31
2021,3,AMI,AMI,29,29,none,1,complete,2024-01-31
2021,3,All CVD,All CVD,79,79,none,1,complete,2024-01-31
2021,4,Stroke,Stroke,37,37,none,1,complete,2024-01-31
2021,4,AMI,AMI,37,37,none,1,complete,2024-01-31
2021,4,All CVD,All CVD,74,74,none,1,complete,2024-01-31
2021,5,Stroke,Stroke,67,67,none,1,complete,2024-01-31
2021,5,AMI,AMI,33,33,none,1,complete,2024-01-31
2021,5,All CVD,All CVD,100,100,none,1,complete,2024-01-31
2021,6,Stroke,Stroke,40,40,none,1,complete,2024-01-31
2021,6,AMI,AMI,22,22,none,1,complete,2024-01-31
2021,6,All CVD,All CVD,62,62,none,1,complete,2024-01-31
2021,7,Stroke,Stroke,77,77,none,1,complete,2024-01-31
2021,7,AMI,AMI,55,55,none,1,complete,2024-01-31
2021,7,All CVD,All CVD,132,132,none,1,complete,2024-01-31
2021,8,Stroke,Stroke,68,68,none,1,complete,2024-01-31
2021,8,AMI,AMI,46,46,none,1,complete,2024-01-31
2021,8,All CVD,All CVD,114,114,none,1,complete,2024-01-31
2021,9,Stroke,Stroke,62,62,none,1,complete,2024-01-31
2021,9,AMI,AMI,54,54,none,1,complete,2024-01-31
2021,9,All CVD,All CVD,116,116,none,1,complete,2024-01-31
2021,10,Stroke,Stroke,59,59,none,1,complete,2024-01-31
2021,10,AMI,AMI,44,44,none,1,complete,2024-01-31
2021,10,All CVD,All CVD,103,103,none,1,complete,2024-01-31
2021,11,Stroke,Stroke,58,58,none,1,complete,2024-01-31
2021,11,AMI,AMI,39,39,none,1,complete,2024-01-31
