metric_id,release_id,period_type,period,period_start,period_year,period_month,period_quarter,period_complete,event_type,sex,age_group,source_status,statistic,value,display_value,unit,numerator,denominator,comparison_n,status_flag,sdc_policy,step4_primary_flag,step4_related_flag,previous_release_id,previous_release_found,previous_value,temporal_increment,temporal_check,step5_temporal_flag,step5_complementary_flag,step5_derived_flag,suppression_status,disclosure_note,suppression_note
CVD-BURDEN-001,cvd_2024_01,annual,2013,2013-01-01,2013,,,1,stroke,all,all,hospital_registered,annual_previous_5yr_mean,,,count,,,3,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2013,2013-01-01,2013,,,1,stroke,female,all,hospital_registered,annual_count,278,278,count,278,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2013,2013-01-01,2013,,,1,stroke,female,all,hospital_registered,annual_previous_5yr_mean,,,count,,,3,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2013,2013-01-01,2013,,,1,stroke,male,all,hospital_registered,annual_count,266,266,count,266,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2013,2013-01-01,2013,,,1,stroke,male,all,hospital_registered,annual_previous_5yr_mean,,,count,,,3,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2014,2014-01-01,2014,,,1,all_cvd,all,age_70_plus,hospital_registered,annual_count,373,373,count,373,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2014,2014-01-01,2014,,,1,all_cvd,all,age_70_plus,hospital_registered,annual_previous_5yr_mean,,,count,,,4,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2014,2014-01-01,2014,,,1,all_cvd,all,all,hospital_registered,annual_count,715,715,count,715,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2014,2014-01-01,2014,,,1,all_cvd,all,all,hospital_registered,annual_previous_5yr_mean,,,count,,,4,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2014,2014-01-01,2014,,,1,all_cvd,all,under_70,hospital_registered,annual_count,342,342,count,342,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2014,2014-01-01,2014,,,1,all_cvd,all,under_70,hospital_registered,annual_previous_5yr_mean,,,count,,,4,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2014,2014-01-01,2014,,,1,all_cvd,female,all,hospital_registered,annual_count,369,369,count,369,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2014,2014-01-01,2014,,,1,all_cvd,female,all,hospital_registered,annual_previous_5yr_mean,,,count,,,4,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2014,2014-01-01,2014,,,1,all_cvd,male,all,hospital_registered,annual_count,346,346,count,346,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2014,2014-01-01,2014,,,1,all_cvd,male,all,hospital_registered,annual_previous_5yr_mean,,,count,,,4,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2014,2014-01-01,2014,,,1,ami,all,all,hospital_registered,annual_count,234,234,count,234,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2014,2014-01-01,2014,,,1,ami,all,all,hospital_registered,annual_previous_5yr_mean,,,count,,,4,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
