metric_id,release_id,period_type,period,period_start,period_year,period_month,period_quarter,period_complete,event_type,sex,age_group,case_definition,source_status,statistic,value,display_value,unit,numerator,denominator,comparison_n,status_flag,ci_lower_value,ci_upper_value,ci_level,ci_method,sdc_policy,primary_suppression_threshold,primary_suppression,related_primary_cells,related_suppression_review,suppression_review,suppression_reason,deaths,ci_variance,ci_max_weight,__upper_point,__upper_variance,suppression_status,disclosure_note
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,stroke,female,all,upper_clear_likely_possible,death_certificate,annual_count,153,153,count,153,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,stroke,female,all,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,stroke,male,all,upper_clear_likely_possible,death_certificate,annual_count,121,121,count,121,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,stroke,male,all,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,all,age_70_plus,primary_clear_likely,death_certificate,annual_count,406,406,count,406,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,all,age_70_plus,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,all,all,primary_clear_likely,death_certificate,annual_count,515,515,count,515,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,all,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,all,under_70,primary_clear_likely,death_certificate,annual_count,109,109,count,109,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,all,under_70,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,female,all,primary_clear_likely,death_certificate,annual_count,287,287,count,287,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,female,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,male,all,primary_clear_likely,death_certificate,annual_count,228,228,count,228,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,male,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,heart,all,all,primary_clear_likely,death_certificate,annual_count,248,248,count,248,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,heart,all,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,heart,female,all,primary_clear_likely,death_certificate,annual_count,130,130,count,130,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,heart,female,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,heart,male,all,primary_clear_likely,death_certificate,annual_count,118,118,count,118,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,heart,male,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,stroke,all,all,primary_clear_likely,death_certificate,annual_count,267,267,count,267,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,stroke,all,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,stroke,female,all,primary_clear_likely,death_certificate,annual_count,157,157,count,157,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,stroke,female,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,stroke,male,all,primary_clear_likely,death_certificate,annual_count,110,110,count,110,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,stroke,male,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,all,age_70_plus,upper_clear_likely_possible,death_certificate,annual_count,443,443,count,443,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,all,age_70_plus,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,all,all,upper_clear_likely_possible,death_certificate,annual_count,591,591,count,591,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,all,all,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,all,under_70,upper_clear_likely_possible,death_certificate,annual_count,148,148,count,148,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,all,under_70,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,female,all,upper_clear_likely_possible,death_certificate,annual_count,324,324,count,324,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,female,all,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,male,all,upper_clear_likely_possible,death_certificate,annual_count,267,267,count,267,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,all_cvd,male,all,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,2,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2012,2012-01-01,2012,,,1,heart,all,all,upper_clear_likely_possible,death_certificate,annual_count,302,302,count,302,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
