metric_id,release_id,period_type,period,period_start,period_year,period_month,event_type,sex,age_group,age_group_order,source_status,statistic,value,unit,numerator,denominator,comparison_n,status_flag
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,85_plus,1,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,all,1,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,under_45,1,hospital_registered,annual_count,37,count,37,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,under_45,1,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,unknown,1,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,45_54,2,hospital_registered,annual_count,70,count,70,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,45_54,2,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,55_64,2,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,65_74,2,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,75_84,2,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,85_plus,2,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,all,2,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,under_45,2,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,unknown,2,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
